CCAA;PUERTO;Pesquería;Nº mareas
ANDALUCIA;Barbate;SABLE_GC;24
ANDALUCIA;Tarifa;VORACERA_GC;48
ASTURIAS;Avilés / Gijón;BACA_AC;16
ASTURIAS;Avilés / Gijón;BACA_CN / JURELERA_CN;36
ASTURIAS;Avilés / Gijón;PAREJA_CN;12
ASTURIAS;Avilés / Gijón;CERCO_CN;48
ASTURIAS;Avilés / Gijón;BETA_CN;36
ASTURIAS;Avilés / Gijón;LINEA_CABALLA;12
ASTURIAS;Avilés / Gijón;PALANGRE_AC;24
ASTURIAS;Avilés / Gijón;PALANGRE_CN;48
ASTURIAS;Luarca;VOLANTA_CN;24
CANTABRIA;S. Vicente;RASCO_CN;24
CANTABRIA;Santoña;CERCO_CN;120
CANTABRIA;Santoña;RASCO_CN;12
CANTABRIA;Santoña;LINEA_CABALLA;12
GALICIA;A Coruña;MERLUCEROS_AC;48
GALICIA;A Coruña;BACA_CN / JURELERA_CN;48
GALICIA;A Coruña;PAREJA_CN;24
GALICIA;A Coruña;CERCO_CN;60
GALICIA;A Coruña;BETA_CN;36
GALICIA;A Coruña;NASAPULPO_CN;12
GALICIA;A Coruña;PALANGRE_CN;24
GALICIA;Burela;BACA_CN / JURELERA_CN;24
GALICIA;Cedeira;RASCO_CN;24
GALICIA;Cedeira;VOLANTA_CN;24
GALICIA;Celeiro;PAREJA_CN;12
GALICIA;Celeiro;ENMALLE_AC;24
GALICIA;Celeiro;PALANGRE_AC;36
GALICIA;Fisterra;BETA_CN;36
GALICIA;Fisterra;VOLANTA_CN;24
GALICIA;Marín;BACA_CN / JURELERA_CN;24
GALICIA;Muros;BETA_CN;24
GALICIA;Muros;NASAPULPO_CN;36
GALICIA;Ribeira;BACA_CN / JURELERA_CN;48
GALICIA;Ribeira;PAREJA_CN;36
GALICIA;Ribeira;CERCO_CN;48
GALICIA;Ribeira;PALANGRE_CN;24
GALICIA;Vigo;BACA_APN;12
GALICIA;Vigo;RAPANTEROS_AC;24
GALICIA;Vigo;CERCO_CN;84
